angle,dx,dy,true_dx,true_dy,response,contrast,entropy,gradient_energy,mean_brightness,median_brightness,sharpness,dynamic_range,snr,motion_magnitude,delta_response,delta_entropy,delta_gradient_energy,delta_sharpness,delta_motion_mag,psnr,ssim,ms_ssim,vif,fsim,deviation_dx,deviation_dy
0.0,8.007,-0.001,8.0,0.0,0.982,0.162,7.26,0.008,0.449,0.443,3060.079,1.0,8.878,8.007,0.011,0.04,0.0,-26.045,-3.396,14.704,0.105,0.268,0.015,0.658,-0.007,0.001
0.0,7.999,-10.003,8.0,-10.0,0.967,0.155,7.215,0.008,0.44,0.431,2985.243,1.0,9.045,12.808,-0.015,-0.045,-0.0,-74.836,4.801,13.917,0.066,0.069,0.005,0.636,0.001,0.003
0.0,8.009,9.982,8.0,10.0,0.947,0.165,7.292,0.008,0.455,0.455,3070.303,1.0,8.786,12.798,-0.02,0.076,0.0,85.06,-0.01,13.916,0.104,0.16,0.011,0.654,-0.009,0.018
0.0,8.012,1.992,8.0,2.0,0.968,0.162,7.267,0.008,0.45,0.447,3058.044,1.0,8.861,8.256,0.021,-0.024,-0.0,-12.259,-4.542,14.555,0.094,0.243,0.011,0.652,-0.012,0.008
0.0,8.003,6.987,8.0,7.0,0.96,0.163,7.286,0.008,0.449,0.447,3022.168,1.0,8.799,10.624,-0.008,0.019,-0.0,-35.876,2.368,14.192,0.096,0.181,0.01,0.651,-0.003,0.013
0.0,9.012,-10.989,9.0,-11.0,0.963,0.157,7.214,0.008,0.445,0.439,3050.071,1.0,9.058,14.212,0.003,-0.072,-0.0,27.903,3.588,13.787,0.07,0.064,0.005,0.635,-0.012,-0.011
0.0,9.009,-12.99,9.0,-13.0,0.96,0.155,7.205,0.008,0.442,0.435,3000.781,1.0,9.09,15.809,-0.003,-0.01,-0.0,-49.29,1.597,13.733,0.08,0.061,0.006,0.634,-0.009,-0.01
0.0,0.0,0.0,0.0,0.0,1.0,0.117,6.58,0.009,0.61,0.612,7011.238,1.0,14.341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.001,-10.0,0.0,-10.0,0.968,0.12,6.581,0.009,0.612,0.612,7729.26,1.0,14.147,10.0,-0.032,0.001,0.001,718.022,10.0,16.199,0.041,0.208,0.006,0.747,-0.001,-0.0
0.0,0.001,-13.998,0.0,-14.0,0.949,0.119,6.577,0.009,0.613,0.616,7698.151,1.0,14.228,13.998,-0.019,-0.004,-0.0,-31.109,3.997,16.035,0.041,0.169,0.005,0.742,-0.001,-0.002
